"vramHash1",  "vramHash2",  "title",              "dmaFix", "comment"
"0x7b44d4ca", "0x9066106b", "COOL BALL",          "0x0000", "Cool Ball (USA)"
"0x0c11c189", "0x90a60914", "COOL HAND",          "0x0000", "Cool Hand (Europe)"
"0xd782da14", "0x69813ef9", "COOL HAND",          "0x0000", "Cool Hand (Europe) (Fr,De)"
"0x2b55f9bf", "0xc4309fe5", "COOL SPOT",          "0x0000", "Cool Spot (Europe)"
"0x59b1dddc", "0xda021cb2", "COOL SPOT",          "0x0000", "Cool Spot (USA)"
"0xc1c8a954", "0xd18a3512", "COOL WORLD",         "0x0000", "Cool World (USA, Europe)"
"0x53451c1a", "0x461c9f3d", "COSMO TANK",         "0x0000", "Cosmo Tank (USA)"
"0x5f1417d2", "0xf48f8ab1", "COSMO TANK",         "0x0000", "Cosmo Tank (Japan)"
"0x8938170b", "0xeb62f04d", "CRASH DUMMIES",      "0x0000", "Incredible Crash Dummies, The (USA, Europe)"
"0xe12b1961", "0x33e7df55", "CRYSTAL QUEST",      "0x0000", "Crystal Quest (USA)"
"0xc2c0cf57", "0x7730d7a9", "CTANGO 1700",        "0x0000", "Goukaku Boy Series - Koukou Nyuushi Derujun - Chuugaku Eitango 1700 (Japan)"
"0xeb62ac9b", "0x829b1d03", "CUTTHROAT ISLA",     "0x0000", "CutThroat Island (USA, Europe)"
"0xc74d1a26", "0x72777553", "CYBER FORMULA",      "0x0000", "Shinseiki GPX Cyber Formula (Japan)"
"0xa63626a6", "0xe4ec680f", "CYRAID",             "0x0000", "Cyraid (USA)"
"0x52336d62", "0x39fb9154", "Ca Da",              "0x0000", "Hiden Inyou Kikouhou - Ca Da (Japan)"
"0xfbc275c6", "0x67842d76", "Contra Spirits",     "0x0000", "Contra - The Alien Wars (USA), Contra Spirits (Japan), Probotector 2 (Europe) (Beta), Probotector 2 (Europe)"
"0x560c6f42", "0x6d0d20fe", "Cosmo Tank",         "0x0000", "Cosmo Tank (Japan) (Beta)"
"0xd7f33e80", "0xc8f2671c", "DAEDALIAN OPUS",     "0x0000", "Daedalian Opus (USA)"
